type,title,calories,protein,carbs,fat,ingredients,recipe
Dessert,Dessert Special 7729,780,42,35,24,"Eggs, Bacon, Toast, Bread, Peanut Butter, Banana",https://example.com/dessert-special-7729
Breakfast,Breakfast Special 8401,569,17,50,36,"Beef, Potatoes, Peas, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-8401
Breakfast,Breakfast Special 8454,414,65,61,9,"Bread, Peanut Butter, Banana, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-8454
Dessert,Dessert Special 5336,199,54,38,3,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/dessert-special-5336
Dinner,Dinner Special 8035,859,64,80,5,"Eggs, Bacon, Toast, Fruit Salad, Yogurt, Honey",https://example.com/dinner-special-8035
Snack,Snack Special 8438,401,33,11,15,"Pasta, Tomato Sauce, Cheese, Eggs, Bacon, Toast",https://example.com/snack-special-8438
Snack,Snack Special 2853,483,10,73,36,"Pasta, Tomato Sauce, Cheese, Fish, Quinoa, Spinach",https://example.com/snack-special-2853
Breakfast,Breakfast Special 93,444,37,73,28,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/breakfast-special-93
Dinner,Dinner Special 3244,292,17,28,36,"Beef, Potatoes, Peas, Fish, Quinoa, Spinach",https://example.com/dinner-special-3244
Dinner,Dinner Special 3393,358,27,60,28,"Chicken, Rice, Vegetables, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-3393
Snack,Snack Special 9475,222,46,12,10,"Bread, Peanut Butter, Banana, Smoothie, Berries, Almond Milk",https://example.com/snack-special-9475
Lunch,Lunch Special 2955,796,42,35,11,"Smoothie, Berries, Almond Milk, Chicken, Rice, Vegetables",https://example.com/lunch-special-2955
Dinner,Dinner Special 4469,827,65,11,4,"Fish, Quinoa, Spinach, Fruit Salad, Yogurt, Honey",https://example.com/dinner-special-4469
Dessert,Dessert Special 6786,695,48,48,34,"Beef, Potatoes, Peas, Fish, Quinoa, Spinach",https://example.com/dessert-special-6786
Dinner,Dinner Special 9888,422,53,61,20,"Smoothie, Berries, Almond Milk, Chicken, Rice, Vegetables",https://example.com/dinner-special-9888
Snack,Snack Special 5637,259,62,23,17,"Chicken, Rice, Vegetables, Smoothie, Berries, Almond Milk",https://example.com/snack-special-5637
Breakfast,Breakfast Special 7417,838,55,29,26,"Eggs, Bacon, Toast, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-7417
Dinner,Dinner Special 3123,636,14,32,33,"Fish, Quinoa, Spinach, Beef, Potatoes, Peas",https://example.com/dinner-special-3123
Snack,Snack Special 1239,381,67,77,15,"Smoothie, Berries, Almond Milk, Fish, Quinoa, Spinach",https://example.com/snack-special-1239
Snack,Snack Special 4286,408,26,77,32,"Smoothie, Berries, Almond Milk, Fruit Salad, Yogurt, Honey",https://example.com/snack-special-4286
Dinner,Dinner Special 5735,296,17,11,38,"Smoothie, Berries, Almond Milk, Beef, Potatoes, Peas",https://example.com/dinner-special-5735
Breakfast,Breakfast Special 2860,878,42,38,3,"Beef, Potatoes, Peas, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-2860
Lunch,Lunch Special 2751,569,20,11,13,"Fish, Quinoa, Spinach, Pasta, Tomato Sauce, Cheese",https://example.com/lunch-special-2751
Breakfast,Breakfast Special 8994,665,21,23,13,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/breakfast-special-8994
Dessert,Dessert Special 6153,252,65,16,14,"Fruit Salad, Yogurt, Honey, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-6153
Breakfast,Breakfast Special 1972,279,55,47,37,"Beef, Potatoes, Peas, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-1972
Breakfast,Breakfast Special 2227,535,45,32,15,"Beef, Potatoes, Peas, Chicken, Rice, Vegetables",https://example.com/breakfast-special-2227
Breakfast,Breakfast Special 3795,602,17,63,15,"Fruit Salad, Yogurt, Honey, Chicken, Rice, Vegetables",https://example.com/breakfast-special-3795
Snack,Snack Special 8840,561,57,7,1,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/snack-special-8840
Dinner,Dinner Special 9823,743,15,64,4,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/dinner-special-9823
Breakfast,Breakfast Special 3015,715,7,69,1,"Fruit Salad, Yogurt, Honey, Eggs, Bacon, Toast",https://example.com/breakfast-special-3015
Breakfast,Breakfast Special 5949,317,14,56,21,"Chicken, Rice, Vegetables, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-5949
Dinner,Dinner Special 1006,885,44,33,34,"Chicken, Rice, Vegetables, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-1006
Dessert,Dessert Special 3355,594,22,39,27,"Fruit Salad, Yogurt, Honey, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-3355
Breakfast,Breakfast Special 7175,646,34,12,11,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/breakfast-special-7175
Snack,Snack Special 9987,285,26,68,14,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/snack-special-9987
Dessert,Dessert Special 6910,797,13,49,27,"Chicken, Rice, Vegetables, Eggs, Bacon, Toast",https://example.com/dessert-special-6910
Dessert,Dessert Special 4954,256,27,49,17,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/dessert-special-4954
Snack,Snack Special 2446,686,28,14,26,"Eggs, Bacon, Toast, Bread, Peanut Butter, Banana",https://example.com/snack-special-2446
Snack,Snack Special 6380,158,50,68,9,"Bread, Peanut Butter, Banana, Smoothie, Berries, Almond Milk",https://example.com/snack-special-6380
Dessert,Dessert Special 5704,574,51,80,27,"Pasta, Tomato Sauce, Cheese, Bread, Peanut Butter, Banana",https://example.com/dessert-special-5704
Dinner,Dinner Special 1648,152,44,28,30,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/dinner-special-1648
Lunch,Lunch Special 3943,694,6,75,36,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/lunch-special-3943
Dessert,Dessert Special 2767,622,19,23,30,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/dessert-special-2767
Dessert,Dessert Special 5691,406,18,41,9,"Smoothie, Berries, Almond Milk, Fish, Quinoa, Spinach",https://example.com/dessert-special-5691
Dinner,Dinner Special 676,638,67,50,26,"Fruit Salad, Yogurt, Honey, Bread, Peanut Butter, Banana",https://example.com/dinner-special-676
Lunch,Lunch Special 8378,722,39,69,21,"Beef, Potatoes, Peas, Bread, Peanut Butter, Banana",https://example.com/lunch-special-8378
Breakfast,Breakfast Special 8333,683,30,75,24,"Fruit Salad, Yogurt, Honey, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-8333
Dinner,Dinner Special 1709,848,58,73,39,"Chicken, Rice, Vegetables, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-1709
Dessert,Dessert Special 5776,346,21,75,25,"Pasta, Tomato Sauce, Cheese, Eggs, Bacon, Toast",https://example.com/dessert-special-5776
Snack,Snack Special 1631,434,40,61,32,"Fruit Salad, Yogurt, Honey, Pasta, Tomato Sauce, Cheese",https://example.com/snack-special-1631
Lunch,Lunch Special 370,818,61,71,13,"Pasta, Tomato Sauce, Cheese, Eggs, Bacon, Toast",https://example.com/lunch-special-370
Dessert,Dessert Special 6826,387,6,23,19,"Pasta, Tomato Sauce, Cheese, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-6826
Dessert,Dessert Special 1703,508,18,62,26,"Pasta, Tomato Sauce, Cheese, Eggs, Bacon, Toast",https://example.com/dessert-special-1703
Dinner,Dinner Special 6267,156,9,18,14,"Fruit Salad, Yogurt, Honey, Eggs, Bacon, Toast",https://example.com/dinner-special-6267
Lunch,Lunch Special 596,350,60,68,34,"Smoothie, Berries, Almond Milk, Fish, Quinoa, Spinach",https://example.com/lunch-special-596
Breakfast,Breakfast Special 8406,523,7,65,17,"Bread, Peanut Butter, Banana, Eggs, Bacon, Toast",https://example.com/breakfast-special-8406
Dinner,Dinner Special 2239,689,50,52,16,"Fruit Salad, Yogurt, Honey, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-2239
Snack,Snack Special 8141,216,53,48,32,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/snack-special-8141
Snack,Snack Special 4311,315,6,13,27,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/snack-special-4311
Dessert,Dessert Special 3271,308,37,62,25,"Eggs, Bacon, Toast, Chicken, Rice, Vegetables",https://example.com/dessert-special-3271
Dessert,Dessert Special 511,755,50,65,10,"Beef, Potatoes, Peas, Fruit Salad, Yogurt, Honey",https://example.com/dessert-special-511
Breakfast,Breakfast Special 487,284,67,62,37,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/breakfast-special-487
Dessert,Dessert Special 4710,785,62,6,29,"Bread, Peanut Butter, Banana, Fruit Salad, Yogurt, Honey",https://example.com/dessert-special-4710
Snack,Snack Special 4002,868,68,16,2,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/snack-special-4002
Snack,Snack Special 7678,650,12,35,26,"Bread, Peanut Butter, Banana, Fish, Quinoa, Spinach",https://example.com/snack-special-7678
Dinner,Dinner Special 3421,885,8,76,32,"Smoothie, Berries, Almond Milk, Fruit Salad, Yogurt, Honey",https://example.com/dinner-special-3421
Snack,Snack Special 4536,418,17,76,1,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/snack-special-4536
Breakfast,Breakfast Special 6092,168,61,28,4,"Fish, Quinoa, Spinach, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-6092
Dinner,Dinner Special 3592,870,52,45,18,"Beef, Potatoes, Peas, Fruit Salad, Yogurt, Honey",https://example.com/dinner-special-3592
Dinner,Dinner Special 9529,364,24,73,5,"Bread, Peanut Butter, Banana, Chicken, Rice, Vegetables",https://example.com/dinner-special-9529
Lunch,Lunch Special 7425,648,30,55,2,"Pasta, Tomato Sauce, Cheese, Fish, Quinoa, Spinach",https://example.com/lunch-special-7425
Snack,Snack Special 2896,195,8,36,36,"Fish, Quinoa, Spinach, Pasta, Tomato Sauce, Cheese",https://example.com/snack-special-2896
Breakfast,Breakfast Special 8712,420,50,29,39,"Chicken, Rice, Vegetables, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-8712
Dessert,Dessert Special 1034,405,27,32,3,"Bread, Peanut Butter, Banana, Chicken, Rice, Vegetables",https://example.com/dessert-special-1034
Dessert,Dessert Special 4282,705,63,50,28,"Chicken, Rice, Vegetables, Beef, Potatoes, Peas",https://example.com/dessert-special-4282
Dinner,Dinner Special 2486,554,33,38,16,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/dinner-special-2486
Dessert,Dessert Unique 9111,481,20,74,20,"Bread, Peanut Butter, Banana, Smoothie, Berries, Almond Milk",https://example.com/dessert-unique-9111
Breakfast,Breakfast Special 3778,391,53,43,32,"Eggs, Bacon, Toast, Chicken, Rice, Vegetables",https://example.com/breakfast-special-3778
Dinner,Dinner Special 5063,450,28,58,39,"Eggs, Bacon, Toast, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-5063
Lunch,Lunch Special 882,162,67,72,32,"Bread, Peanut Butter, Banana, Eggs, Bacon, Toast",https://example.com/lunch-special-882
Lunch,Lunch Special 995,231,10,24,28,"Beef, Potatoes, Peas, Fish, Quinoa, Spinach",https://example.com/lunch-special-995
Snack,Snack Special 6459,175,63,38,22,"Bread, Peanut Butter, Banana, Eggs, Bacon, Toast",https://example.com/snack-special-6459
Dessert,Dessert Special 4903,213,26,26,12,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/dessert-special-4903
Snack,Snack Special 23,621,22,51,36,"Smoothie, Berries, Almond Milk, Fish, Quinoa, Spinach",https://example.com/snack-special-23
Dinner,Dinner Special 2,290,68,60,26,"Smoothie, Berries, Almond Milk, Fruit Salad, Yogurt, Honey",https://example.com/dinner-special-2
Dinner,Dinner Special 6526,310,46,51,35,"Smoothie, Berries, Almond Milk, Chicken, Rice, Vegetables",https://example.com/dinner-special-6526
Lunch,Lunch Special 8392,259,31,21,12,"Bread, Peanut Butter, Banana, Fish, Quinoa, Spinach",https://example.com/lunch-special-8392
Lunch,Lunch Special 283,555,27,36,11,"Pasta, Tomato Sauce, Cheese, Smoothie, Berries, Almond Milk",https://example.com/lunch-special-283
Lunch,Lunch Unique 3215,383,20,22,11,"Pasta, Tomato Sauce, Cheese, Smoothie, Berries, Almond Milk",https://example.com/lunch-unique-3215
Breakfast,Breakfast Special 2602,617,38,46,32,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/breakfast-special-2602
Dessert,Dessert Special 1154,275,32,55,23,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/dessert-special-1154
Lunch,Lunch Special 895,584,66,37,38,"Fruit Salad, Yogurt, Honey, Eggs, Bacon, Toast",https://example.com/lunch-special-895
Breakfast,Breakfast Special 2035,499,14,68,21,"Chicken, Rice, Vegetables, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-2035
Dessert,Dessert Special 1384,710,9,33,28,"Pasta, Tomato Sauce, Cheese, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-1384
Breakfast,Breakfast Special 6836,714,39,34,11,"Pasta, Tomato Sauce, Cheese, Eggs, Bacon, Toast",https://example.com/breakfast-special-6836
Lunch,Lunch Special 2249,733,47,8,24,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/lunch-special-2249
Lunch,Lunch Special 4444,538,52,63,2,"Beef, Potatoes, Peas, Fruit Salad, Yogurt, Honey",https://example.com/lunch-special-4444
Dessert,Dessert Special 9193,635,23,73,18,"Pasta, Tomato Sauce, Cheese, Eggs, Bacon, Toast",https://example.com/dessert-special-9193
Breakfast,Breakfast Special 8183,607,8,31,27,"Chicken, Rice, Vegetables, Eggs, Bacon, Toast",https://example.com/breakfast-special-8183
Breakfast,Breakfast Special 6761,472,10,55,34,"Eggs, Bacon, Toast, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-6761
Breakfast,Breakfast Special 2361,754,17,39,1,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/breakfast-special-2361
Dinner,Dinner Special 7361,707,27,66,1,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/dinner-special-7361
Breakfast,Breakfast Special 2206,344,37,31,19,"Fruit Salad, Yogurt, Honey, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-2206
Breakfast,Breakfast Special 3540,860,20,31,31,"Fruit Salad, Yogurt, Honey, Bread, Peanut Butter, Banana",https://example.com/breakfast-special-3540
Lunch,Lunch Special 6522,757,5,49,12,"Fruit Salad, Yogurt, Honey, Chicken, Rice, Vegetables",https://example.com/lunch-special-6522
Dessert,Dessert Special 5513,611,24,41,23,"Smoothie, Berries, Almond Milk, Eggs, Bacon, Toast",https://example.com/dessert-special-5513
Snack,Snack Special 6209,276,10,79,37,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/snack-special-6209
Dinner,Dinner Special 5925,406,44,37,30,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/dinner-special-5925
Dinner,Dinner Special 9922,519,12,37,31,"Fish, Quinoa, Spinach, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-9922
Breakfast,Breakfast Special 887,856,25,68,10,"Fish, Quinoa, Spinach, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-887
Dessert,Dessert Special 6072,831,45,9,37,"Beef, Potatoes, Peas, Fish, Quinoa, Spinach",https://example.com/dessert-special-6072
Dessert,Dessert Special 1091,706,29,16,16,"Beef, Potatoes, Peas, Fruit Salad, Yogurt, Honey",https://example.com/dessert-special-1091
Lunch,Lunch Special 3275,826,30,61,35,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/lunch-special-3275
Dessert,Dessert Special 8145,789,26,20,37,"Bread, Peanut Butter, Banana, Fish, Quinoa, Spinach",https://example.com/dessert-special-8145
Dessert,Dessert Special 7974,251,9,36,17,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/dessert-special-7974
Lunch,Lunch Special 2964,347,67,12,22,"Chicken, Rice, Vegetables, Bread, Peanut Butter, Banana",https://example.com/lunch-special-2964
Dessert,Dessert Special 2314,372,14,52,38,"Fish, Quinoa, Spinach, Beef, Potatoes, Peas",https://example.com/dessert-special-2314
Dessert,Dessert Special 7426,324,59,52,12,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/dessert-special-7426
Breakfast,Breakfast Special 8054,341,35,28,3,"Eggs, Bacon, Toast, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-8054
Lunch,Lunch Special 7419,517,70,36,35,"Beef, Potatoes, Peas, Chicken, Rice, Vegetables",https://example.com/lunch-special-7419
Dessert,Dessert Special 1909,408,52,61,38,"Fruit Salad, Yogurt, Honey, Bread, Peanut Butter, Banana",https://example.com/dessert-special-1909
Breakfast,Breakfast Special 677,597,61,48,5,"Bread, Peanut Butter, Banana, Beef, Potatoes, Peas",https://example.com/breakfast-special-677
Breakfast,Breakfast Special 7544,788,10,68,1,"Bread, Peanut Butter, Banana, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-7544
Breakfast,Breakfast Special 2942,700,18,56,38,"Beef, Potatoes, Peas, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-2942
Breakfast,Breakfast Special 6705,374,22,69,18,"Eggs, Bacon, Toast, Beef, Potatoes, Peas",https://example.com/breakfast-special-6705
Breakfast,Breakfast Special 8455,406,64,9,21,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/breakfast-special-8455
Dessert,Dessert Special 3003,176,53,62,34,"Pasta, Tomato Sauce, Cheese, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-3003
Snack,Snack Special 8411,378,59,30,16,"Fruit Salad, Yogurt, Honey, Chicken, Rice, Vegetables",https://example.com/snack-special-8411
Dinner,Dinner Special 3534,230,57,7,10,"Bread, Peanut Butter, Banana, Beef, Potatoes, Peas",https://example.com/dinner-special-3534
Dessert,Dessert Special 2902,217,53,19,22,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/dessert-special-2902
Snack,Snack Special 929,343,23,44,14,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/snack-special-929
Dinner,Dinner Special 1868,196,46,66,3,"Beef, Potatoes, Peas, Fruit Salad, Yogurt, Honey",https://example.com/dinner-special-1868
Lunch,Lunch Special 8771,436,37,64,34,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/lunch-special-8771
Dessert,Dessert Special 2525,296,18,76,36,"Smoothie, Berries, Almond Milk, Eggs, Bacon, Toast",https://example.com/dessert-special-2525
Dinner,Dinner Special 7768,249,37,41,32,"Fish, Quinoa, Spinach, Smoothie, Berries, Almond Milk",https://example.com/dinner-special-7768
Dessert,Dessert Special 1480,893,46,61,16,"Chicken, Rice, Vegetables, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-1480
Snack,Snack Special 9313,828,70,15,37,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/snack-special-9313
Breakfast,Breakfast Special 173,455,23,57,40,"Smoothie, Berries, Almond Milk, Eggs, Bacon, Toast",https://example.com/breakfast-special-173
Lunch,Lunch Special 7224,891,57,50,26,"Pasta, Tomato Sauce, Cheese, Fruit Salad, Yogurt, Honey",https://example.com/lunch-special-7224
Breakfast,Breakfast Special 2621,598,47,18,15,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/breakfast-special-2621
Lunch,Lunch Special 6144,393,8,25,12,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/lunch-special-6144
Dessert,Dessert Special 9488,718,52,50,3,"Eggs, Bacon, Toast, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-9488
Snack,Snack Special 5501,460,37,69,23,"Bread, Peanut Butter, Banana, Fish, Quinoa, Spinach",https://example.com/snack-special-5501
Dinner,Dinner Special 2791,670,54,28,10,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/dinner-special-2791
Snack,Snack Special 2267,878,54,53,14,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/snack-special-2267
Dessert,Dessert Special 5703,807,56,63,8,"Bread, Peanut Butter, Banana, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-5703
Dessert,Dessert Special 8579,880,9,14,7,"Smoothie, Berries, Almond Milk, Chicken, Rice, Vegetables",https://example.com/dessert-special-8579
Dessert,Dessert Special 4839,162,67,21,14,"Pasta, Tomato Sauce, Cheese, Fish, Quinoa, Spinach",https://example.com/dessert-special-4839
Lunch,Lunch Special 5092,808,9,18,27,"Fruit Salad, Yogurt, Honey, Eggs, Bacon, Toast",https://example.com/lunch-special-5092
Dinner,Dinner Special 1939,227,58,52,7,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/dinner-special-1939
Lunch,Lunch Special 482,505,70,8,2,"Smoothie, Berries, Almond Milk, Eggs, Bacon, Toast",https://example.com/lunch-special-482
Dinner,Dinner Special 9993,600,28,44,19,"Pasta, Tomato Sauce, Cheese, Fruit Salad, Yogurt, Honey",https://example.com/dinner-special-9993
Dessert,Dessert Special 191,657,59,37,21,"Beef, Potatoes, Peas, Bread, Peanut Butter, Banana",https://example.com/dessert-special-191
Breakfast,Breakfast Special 6237,345,57,8,32,"Smoothie, Berries, Almond Milk, Chicken, Rice, Vegetables",https://example.com/breakfast-special-6237
Snack,Snack Special 5883,873,25,33,36,"Fruit Salad, Yogurt, Honey, Pasta, Tomato Sauce, Cheese",https://example.com/snack-special-5883
Dessert,Dessert Special 8780,355,43,27,15,"Pasta, Tomato Sauce, Cheese, Beef, Potatoes, Peas",https://example.com/dessert-special-8780
Dinner,Dinner Special 1157,559,66,69,8,"Pasta, Tomato Sauce, Cheese, Eggs, Bacon, Toast",https://example.com/dinner-special-1157
Dinner,Dinner Special 2052,774,22,11,14,"Beef, Potatoes, Peas, Bread, Peanut Butter, Banana",https://example.com/dinner-special-2052
Breakfast,Breakfast Special 3603,457,58,23,23,"Pasta, Tomato Sauce, Cheese, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-3603
Dessert,Dessert Special 8283,510,47,17,37,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/dessert-special-8283
Snack,Snack Special 2869,554,40,13,37,"Bread, Peanut Butter, Banana, Fish, Quinoa, Spinach",https://example.com/snack-special-2869
Dessert,Dessert Special 5146,734,37,11,25,"Smoothie, Berries, Almond Milk, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-5146
Snack,Snack Special 4080,819,32,67,6,"Bread, Peanut Butter, Banana, Beef, Potatoes, Peas",https://example.com/snack-special-4080
Breakfast,Breakfast Special 6387,172,14,27,18,"Bread, Peanut Butter, Banana, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-6387
Breakfast,Breakfast Special 61,716,20,72,5,"Eggs, Bacon, Toast, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-61
Breakfast,Breakfast Special 8114,714,11,42,16,"Eggs, Bacon, Toast, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-8114
Snack,Snack Special 1422,378,47,39,13,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/snack-special-1422
Snack,Snack Special 926,492,25,21,39,"Beef, Potatoes, Peas, Pasta, Tomato Sauce, Cheese",https://example.com/snack-special-926
Snack,Snack Special 5631,690,70,31,7,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/snack-special-5631
Breakfast,Breakfast Special 5065,304,33,75,40,"Fish, Quinoa, Spinach, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-5065
Snack,Snack Special 5845,708,12,69,26,"Pasta, Tomato Sauce, Cheese, Beef, Potatoes, Peas",https://example.com/snack-special-5845
Dessert,Dessert Special 8170,853,26,54,12,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/dessert-special-8170
Snack,Snack Special 2545,195,22,10,20,"Chicken, Rice, Vegetables, Fruit Salad, Yogurt, Honey",https://example.com/snack-special-2545
Dinner,Dinner Special 2331,513,13,42,33,"Chicken, Rice, Vegetables, Beef, Potatoes, Peas",https://example.com/dinner-special-2331
Snack,Snack Special 3257,666,5,77,11,"Fish, Quinoa, Spinach, Pasta, Tomato Sauce, Cheese",https://example.com/snack-special-3257
Lunch,Lunch Special 1210,866,69,22,10,"Smoothie, Berries, Almond Milk, Fruit Salad, Yogurt, Honey",https://example.com/lunch-special-1210
Dessert,Dessert Special 3159,203,68,78,35,"Eggs, Bacon, Toast, Fish, Quinoa, Spinach",https://example.com/dessert-special-3159
Breakfast,Breakfast Special 3506,840,25,64,33,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/breakfast-special-3506
Lunch,Lunch Special 2376,201,7,7,28,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/lunch-special-2376
Lunch,Lunch Special 180,673,28,61,5,"Bread, Peanut Butter, Banana, Chicken, Rice, Vegetables",https://example.com/lunch-special-180
Breakfast,Breakfast Special 9791,793,9,67,3,"Fruit Salad, Yogurt, Honey, Eggs, Bacon, Toast",https://example.com/breakfast-special-9791
Dinner,Dinner Special 2683,209,25,59,3,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/dinner-special-2683
Dinner,Dinner Special 3957,262,36,26,37,"Beef, Potatoes, Peas, Chicken, Rice, Vegetables",https://example.com/dinner-special-3957
Snack,Snack Special 382,515,38,58,39,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/snack-special-382
Dinner,Dinner Special 7724,342,68,8,11,"Fruit Salad, Yogurt, Honey, Bread, Peanut Butter, Banana",https://example.com/dinner-special-7724
Dinner,Dinner Special 8812,825,7,76,18,"Eggs, Bacon, Toast, Beef, Potatoes, Peas",https://example.com/dinner-special-8812
Dessert,Dessert Special 6927,768,43,43,7,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/dessert-special-6927
Breakfast,Breakfast Special 7982,476,13,28,29,"Pasta, Tomato Sauce, Cheese, Chicken, Rice, Vegetables",https://example.com/breakfast-special-7982
Dessert,Dessert Special 4674,333,7,66,8,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/dessert-special-4674
Dessert,Dessert Special 4542,423,22,10,33,"Fruit Salad, Yogurt, Honey, Chicken, Rice, Vegetables",https://example.com/dessert-special-4542
Breakfast,Breakfast Special 5674,183,61,13,39,"Pasta, Tomato Sauce, Cheese, Bread, Peanut Butter, Banana",https://example.com/breakfast-special-5674
Lunch,Lunch Special 7316,788,60,38,23,"Pasta, Tomato Sauce, Cheese, Smoothie, Berries, Almond Milk",https://example.com/lunch-special-7316
Dessert,Dessert Special 3861,415,16,78,31,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/dessert-special-3861
Breakfast,Breakfast Special 1456,553,51,21,20,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/breakfast-special-1456
Snack,Snack Special 8355,204,13,25,14,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/snack-special-8355
Lunch,Lunch Special 4234,278,6,63,12,"Smoothie, Berries, Almond Milk, Chicken, Rice, Vegetables",https://example.com/lunch-special-4234
